id,DQD,DQB,DQL,GEME,AH,MTH,FH,RT,FU,HO,GEMN,HAUS,LABE,GRUF,VOLU
DENILD800000p6Uf,1000,1300,1000,03456018,33.247,36.44,40.324,3100,31001_2720,7.077,Quendorf,NA,NA,13.5224609375,14056.107783499858
DENILD800000gYRf,1000,1300,1000,03456010,32.506,36.94,40.332,3100,31001_2000,7.825,Isterberg,NA,NA,318.1953125,1715.5793028300898
DENILD800000ryGP,1000,1300,1000,03456010,33.238,40.332,40.332,1000,51009_1610,7.093,Isterberg,NA,NA,81.630859375,579.0860256793645
DENILD800000gYJB,1000,1300,1000,03456010,33.563,39.153,42.322,3100,31001_1000,8.758,Isterberg,6,Laudiek,88.642578125,556.7457284411598
DENILD800000gYNM,1000,1300,1000,03456010,32.291,35.848,37.457,9999,31001_2000,5.166,Isterberg,NA,NA,11.2001953125,318.6565990147822
DENILD800000a24k,1000,1300,1000,03456018,32.151,34.67,34.67,1000,31001_2720,2.519,Quendorf,NA,NA,57.9853515625,146.066217596965
DENILD800000a23p,1000,1300,1000,03456018,32.04,36.451,40.249,3100,31001_1000,8.209,Quendorf,148,Nordhorner Straße,0.359375,1180.7144620724557
DENILD800000a23n,1000,1300,1000,03456018,31.406,35.073,39.559,3100,31001_2720,8.153,Quendorf,NA,NA,53.251953125,314.8380046612959
DENILD800000orpV,1000,1300,1000,03456018,31.31,39.108,39.108,1000,31001_1000,7.799,Quendorf,8,Alter Postdamm,14.0322265625,1967.4889423796387
DENILD800000p6Ul,1000,1300,1000,03456018,33.455,36.289,36.453,2100,51009_1610,2.998,Quendorf,NA,NA,84.47265625,241.77571438312032
DENILD800000a25j,1000,1300,1000,03456018,36.163,42.225,46.133,3100,31001_2720,9.97,Quendorf,NA,NA,217.44140625,1525.0103590883807
DENILD800000gYHa,1000,1300,1000,03456010,32.668,36.917,42.283,3100,31001_2000,9.615,Isterberg,NA,NA,153.7275390625,1065.6633088470483
DENILD800000a21v,1000,1300,1000,03456018,30.54,34.262,40.885,3100,31001_1000,10.345,Quendorf,7,Langenfoort,206.1259765625,1450.0711512457492
DENILD800000a22p,1000,1300,1000,03456018,36.572,40.14,41.791,3100,31001_2720,5.218,Quendorf,NA,NA,100.3642578125,440.99097147233095
DENILD800000jezi,1000,1300,1000,03456010,32.764,39.025,39.025,1000,51009_1610,6.261,Isterberg,NA,NA,5.2216796875,32.688731095912765
DENILD800000jezk,1000,1300,1000,03456010,33.299,49.273,49.273,1000,51009_1610,15.974,Isterberg,NA,NA,12.5400390625,200.31825698897163
DENILD800000a2ar,1000,1300,1000,03456018,31.01,37.327,41.281,3100,31001_1210,10.271,Quendorf,12,Alter Postdamm,8.6123046875,2733.2479919037023
DENILD800000a26p,1000,1300,1000,03456018,31.586,48.824,49.967,3100,31001_2720,18.381,Quendorf,NA,NA,56.6474609375,1009.0050541257651
DENILD800000gYLe,1000,1300,1000,03456010,32.274,36.721,39.006,3100,31001_2720,6.732,Isterberg,NA,NA,14.4130859375,432.9705570543801
DENILD800000gYIL,1000,1300,1000,03456010,33.005,45.23,46.314,5000,31001_2000,13.309,Isterberg,NA,NA,5.25390625,750.2014813789522
DENILD800000a26A,1000,1300,1000,03456018,31.978,35.256,39.665,3100,31001_2720,7.688,Quendorf,NA,NA,116.8095703125,640.4276811190421
DENILD800000p6Um,1000,1300,1000,03456018,33.176,36.23,36.407,2100,51009_1610,3.232,Quendorf,NA,NA,83.3701171875,257.07466961945863
